order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
1,513,771,83,807.16,9603.14,2022-06-21,8 Sundown Junction,credit card,shipped
2,911,548,64,982.9,6688.68,2020-08-28,825 Fremont Crossing,credit card,pending
3,606,671,1,848.51,197.57,2021-09-13,5 Daystar Court,PayPal,pending
4,597,454,56,620.27,1991.97,2021-05-04,170 Havey Drive,Apple Pay,processing
5,178,142,21,394.96,6583.09,2022-11-19,455 Glendale Plaza,credit card,pending
6,244,386,71,737.36,1469.56,2020-05-20,30 Graceland Road,credit card,pending
7,688,760,89,816.72,7350.3,2022-07-06,4 Pennsylvania Avenue,credit card,pending
8,179,33,93,442.29,4182.24,2022-01-30,5 Old Shore Road,Apple Pay,shipped
9,397,278,56,383.16,4950.37,2021-02-24,3 Farmco Parkway,credit card,shipped
10,53,403,61,516.58,6998.16,2021-09-11,56 3rd Alley,PayPal,processing
11,190,903,36,984.34,2575.39,2020-07-05,5303 Cody Crossing,credit card,shipped
12,82,557,23,665.67,414.88,2022-11-27,219 Oriole Circle,credit card,pending
13,326,314,69,360.44,2735.84,2020-05-21,5769 Bayside Center,Apple Pay,shipped
14,73,378,27,365.04,6081.62,2020-10-21,95 International Alley,PayPal,delivered
15,907,144,15,447.38,3219.76,2022-01-03,71 Graceland Way,PayPal,delivered
16,561,496,66,29.94,7414.94,2021-04-14,31 Sutteridge Street,credit card,delivered
17,752,880,7,128.62,8364.31,2020-11-09,2 Carey Parkway,credit card,delivered
18,874,6,83,899.15,8504.1,2022-11-13,8 Kingsford Place,credit card,delivered
19,745,601,60,79.32,5892.75,2020-06-16,66791 Garrison Parkway,Apple Pay,pending
20,493,148,25,104.46,6346.08,2020-05-05,630 Hauk Avenue,Apple Pay,pending
21,823,614,66,194.58,680.69,2021-07-21,70620 Corscot Court,PayPal,shipped
22,395,914,19,565.45,6006.34,2021-02-25,7141 Forest Dale Trail,PayPal,shipped
23,238,163,12,933.18,9915.09,2022-01-07,8 Farwell Street,PayPal,delivered
24,888,838,71,425.28,6780.44,2022-09-04,64 Pennsylvania Road,PayPal,processing
25,327,77,76,763.51,813.18,2022-01-09,899 Lakeland Alley,PayPal,delivered
26,681,512,96,39.23,6737.35,2022-11-19,5551 Mallory Hill,credit card,pending
27,599,679,96,493.97,8035.35,2020-03-05,7658 Sycamore Point,credit card,shipped
28,529,159,55,619.49,2202.06,2021-02-05,11 Springview Street,PayPal,delivered
29,618,306,82,67.86,2970.82,2020-08-15,6 Elka Alley,PayPal,shipped
30,500,164,56,443.04,6002.96,2021-12-16,8 Thompson Plaza,Apple Pay,delivered
31,30,851,94,325.12,4694.44,2022-07-06,85 Roxbury Plaza,PayPal,processing
32,693,994,43,629.74,9310.98,2021-05-29,59430 Carpenter Place,PayPal,shipped
33,852,742,73,468.31,3432.75,2020-01-17,6476 Burning Wood Road,PayPal,processing
34,884,920,70,731.99,5268.46,2020-03-10,8 Sundown Terrace,PayPal,processing
35,773,400,79,475.06,3491.96,2021-12-12,5 Monument Junction,Apple Pay,pending
36,883,779,4,370.33,8525.82,2020-11-09,605 Ohio Trail,Apple Pay,shipped
37,337,315,41,630.6,9931.51,2022-02-11,9211 Sutteridge Place,PayPal,delivered
38,184,724,7,926.56,6341.96,2022-02-21,874 Tomscot Park,Apple Pay,shipped
39,757,821,46,763.22,1929.6,2020-06-21,8 Judy Alley,credit card,processing
40,659,162,14,245.01,2838.79,2022-07-25,775 Michigan Center,PayPal,processing
41,195,478,85,918.66,1022.5,2022-01-11,7116 Hagan Court,PayPal,delivered
42,424,152,33,48.35,1439.18,2020-03-10,4111 Brentwood Court,credit card,shipped
43,465,645,19,157.55,8954.93,2020-11-03,931 Orin Parkway,credit card,shipped
44,149,604,71,539.75,937.31,2022-10-23,4803 Warrior Park,PayPal,pending
45,708,55,9,705.28,3295.93,2022-12-19,107 Helena Parkway,credit card,shipped
46,537,831,62,677.39,5445.45,2022-08-27,1821 Randy Point,PayPal,shipped
47,46,116,97,743.66,8560.09,2021-01-27,86 Forest Terrace,PayPal,pending
48,262,92,100,70.8,5410.75,2020-03-20,40231 Mendota Trail,PayPal,shipped
49,134,118,65,92.24,1582.8,2021-05-18,70 Village Green Alley,credit card,shipped
50,608,529,81,308.6,2958.68,2022-05-26,543 Holmberg Parkway,Apple Pay,shipped
51,411,260,96,134.41,3603.88,2022-07-17,7 Thackeray Pass,Apple Pay,shipped
52,886,387,26,70.54,3950.12,2020-11-08,13658 Drewry Trail,Apple Pay,pending
53,579,833,89,88.13,2871.23,2020-07-13,431 Hazelcrest Court,Apple Pay,delivered
54,458,361,94,709.48,3194.12,2022-03-15,5625 Starling Plaza,PayPal,pending
